Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420.0,136870511.0,41894585,beps,08/21/2022,08/20/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
ARNOTTS BISCUIT LTD,1004345813.0,136532526.0,41894585,beps,05/23/2022,05/22/2023,4128.819158,1,4128.819158,N/A,4128.819158,,,,False,,False,False
ATLASSIAN PTY LTD,1004904195.0,136748435.0,41894585,beps,06/08/2022,06/07/2023,23806.62,1,23806.62,N/A,23806.62,,,,False,,False,False
BENBOW & PIKE,1004154110.0,136353706.0,41894585,beps,05/22/2022,05/21/2023,3721.442334,1,3721.442334,N/A,3721.442334,,,,False,,False,False
CHARTS PARTNERS,1004169728.0,135872145.0,41894585,beps,01/22/2022,01/21/2023,1852.091935,1,1852.091935,N/A,1852.091935,,,,False,,False,False
CIMIC ADMIN SERVICES PTY LTD,1005195190.0,260309141.0,41894585,beps,12/18/2022,12/17/2023,2817.575007,1,2817.575007,N/A,2817.575007,True,,,True,False,False,False
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962.0,260136174.0,41894585,beps,10/15/2022,10/14/2023,4354.087531,1,4354.087531,N/A,4354.087531,,,,True,False,False,False
FLSMIDTH PTY LTD,1004141836.0,260137335.0,41894585,beps,11/24/2022,11/23/2023,2930.278007,1,2930.278007,N/A,2930.278007,,,,True,False,False,False
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439.0,260000988.0,41894585,beps,10/16/2022,10/15/2023,3761.546931,1,3761.546931,N/A,3761.546931,,,,True,False,False,False
FOXTEL MANAGEMENT PTY LIMITED,1004344816.0,136914727.0,41894585,beps,08/31/2022,08/30/2023,8559.317369,1,8559.317369,N/A,8559.317369,,,,False,,False,False
FRASERS PROPERTY AUSTRALIA PTY,1005255796.0,136361741.0,41894585,beps,05/27/2022,05/26/2023,5573.231489,1,5573.231489,N/A,5573.231489,,,,False,,False,False
GRAEME GREEN,1004158148.0,136096121.0,41894585,beps,02/11/2022,02/10/2023,5505.09221,1,5505.09221,N/A,5505.09221,,,,False,,False,False
GRANT THORNTON AUSTRALIA LTD,1004194203.0,136854532.0,41894585,beps,08/15/2022,08/14/2023,8452.731902,1,8452.731902,N/A,8452.731902,,,,False,,False,False
GREENWOODS & HERBERT SMITH,1004241509.0,136007341.0,41894585,beps,02/26/2022,02/25/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,False,,False,False
HALL CHADWICK NSW PTY LTD,1004038472.0,260136983.0,41894585,beps,11/13/2022,11/12/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,True,False,False,False
HANSON AUSTRALIA (HOLDINGS) PTY LTD,1004156550.0,136416082.0,41894585,beps,07/01/2022,06/30/2023,3572.584641,1,3572.584641,N/A,3572.584641,,,,False,,False,False
HLB MANN JUDD (NSW) PTY LTD,1004140053.0,137070983.0,41894585,beps,10/09/2022,10/08/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,True,False,False,False
INGHAMS ENTERPRISES PTY LTD,1004192913.0,136459973.0,41894585,beps,06/18/2022,06/17/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,False,,False,False
JIRSCH REILLY TANG PTY LTD,1004189491.0,260136540.0,41894585,beps,11/20/2022,11/19/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,True,False,False,False
JOHN SWIRE & SONS (AUSTRALIA),1005032001.0,260137446.0,41894585,beps,10/30/2022,10/29/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,True,False,False,False
