Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal,SP AM Rep Name,SP OWM AM Rep Name,SP CSM Rep Name
"ACI WORLDWIDE, INC.",1003850945.0,134285065.0,42534897,itc,03/01/2023,02/29/2024,17305.6,1.0,17305.6,0.0,0.0,,,,False,,False,False,"MARCUS, JOEL",UNASSIGNED REP,"CHAVARRIA, SILCA"
ALCOA USA CORP,1005669491.0,135836747.0,42534897,itc,12/01/2022,11/30/2023,23683.0,1.0,23683.0,0.0,0.0,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"MULLIN, WENDY"
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056.0,261048339.0,42534897,itc,07/01/2023,06/30/2024,27560.0,1.0,27560.0,0.0,0.0,,,,False,,False,False,"RUSSO, JENNIFER",UNASSIGNED REP,"CLEESATTEL, PAUL"
ANDERSONS INC,1003849577.0,129327641.0,42533744,itc,07/02/2023,07/01/2024,8000.0,1.0,8000.0,0.0,0.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"GONDEK, ERIC"
"APEX TOOL GROUP, LLC",1004002516.0,135922933.0,42534897,itc,10/01/2022,09/30/2023,15000.0,1.0,15000.0,0.0,0.0,,,,False,,False,False,"BLACKER, ERIC",UNASSIGNED REP,"HART, JACQUELINE"
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623.0,135655938.0,42534897,itc,01/25/2023,01/24/2024,19468.8,1.0,19468.8,0.0,0.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"OTT, EVA"
"AVID TECH, INC",1005775234.0,260602145.0,42534897,itc,05/01/2023,04/30/2024,6500.0,1.0,6500.0,0.0,0.0,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
"BARRICK GOLD OF NORTH AMERICA, INC",1003850523.0,260232570.0,42533743,itc,05/15/2023,11/30/2023,79762.02,1.0,79762.02,0.0,0.0,,,,False,,False,False,"BARGAR, BRADY",UNASSIGNED REP,"CHAVARRIA, SILCA"
"BDO USA, LLP",1004286492.0,135516171.0,42533743,itc,01/01/2023,12/31/2023,77875.0,1.0,77875.0,0.0,0.0,,,,False,,False,False,"PRESNELL, AMY",UNASSIGNED REP,"NAVSARIA, BINA"
"BENCHMARK ELECTRONICS, INC.",1004677283.0,136761726.0,42534897,itc,05/31/2023,05/30/2024,14840.0,1.0,14840.0,0.0,0.0,,,,False,,False,False,"MERRICK, SHAYNE",UNASSIGNED REP,"GARCIA, ERICK"
BOURNS INC,1005665004.0,135800621.0,42534897,itc,12/01/2022,11/30/2023,23400.0,1.0,23400.0,0.0,0.0,,,,False,,False,False,"WASHINGTON, JENNIFER",UNASSIGNED REP,"BERLIOZ PULIDO, GABRIELA"
BRANDTECH INC,1005739546.0,260107365.0,42533744,itc,09/26/2023,09/25/2024,20250.0,1.0,20250.0,0.0,0.0,,,,False,,False,False,"RUSSO, JENNIFER",UNASSIGNED REP,"BIANCO, NICHOLAS"
BROWN-FORMAN CORPORATION,1004707127.0,134734314.0,42534897,itc,08/01/2023,07/31/2024,14599.83,1.0,14599.83,0.0,0.0,,,,False,,False,False,"GRODECKY, PETE",UNASSIGNED REP,"KARTZ, SARA"
CABOT MICRO ELECTRONICS CORP,1003851003.0,133875800.0,42534897,itc,12/01/2022,11/30/2023,20683.51,1.0,20683.51,0.0,0.0,,,,False,,False,False,"GRODECKY, PETE",UNASSIGNED REP,"KARTZ, SARA"
CGI FEDERAL INC,1004934339.0,260138910.0,42534897,itc,09/07/2023,09/06/2024,23400.0,1.0,23400.0,0.0,0.0,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"VAKIL, SHIVAM"
CONCENTRIX CORPORATION,1004830714.0,260874379.0,42534897,itc,03/14/2023,03/13/2024,22500.0,1.0,22500.0,0.0,0.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"HART, JACQUELINE"
COOPER TIRE & RUBBER COMPANY,1003854023.0,129310044.0,42534897,itc,12/01/2022,11/30/2023,14599.83,1.0,14599.83,0.0,0.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"ARROYO, JESSICA"
CORTEVA AGRISCIENCE LLC,1004976002.0,260602290.0,42534897,itc,12/01/2022,11/30/2023,13538.64,1.0,13538.64,0.0,0.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"BOOTH, EVONNE"
COSTCO WHOLESALE CORP.,1003851413.0,260499768.0,42534897,itc,12/15/2022,12/14/2023,18000.0,1.0,18000.0,0.0,0.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"DEWITT, DEBORAH"
CROWE LLP,1003848257.0,136385244.0,42534897,itc,12/01/2022,11/30/2023,69254.85,1.0,69254.85,0.0,0.0,,,,False,,False,False,"HORNADY, EMILY",UNASSIGNED REP,"SCHULZ, MICHELLE"
DANIEL J EDELMAN INC.,1003851856.0,136644862.0,42534897,itc,06/01/2023,05/31/2024,14443.03,1.0,14443.03,0.0,0.0,,,,False,,False,False,"DYMKOWSKI, ROBERT",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
DAYCO PRODUCTS LLC,1004864858.0,135637342.0,42534897,itc,03/01/2023,02/29/2024,17997.82,1.0,17997.82,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"EVELOFF, MONA"
"DIGITALOCEAN, LLC",1005195502.0,136988658.0,42534897,itc,01/13/2023,01/12/2024,9843.75,1.0,9843.75,0.0,0.0,,,,False,,False,False,"LAWLESS, BOB",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003.0,260620679.0,42534897,itc,12/01/2022,11/30/2023,16000.0,1.0,16000.0,0.0,0.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"BOOTH, EVONNE"
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003.0,136874320.0,42534897,itc,12/01/2022,11/30/2023,22500.0,1.0,22500.0,0.0,0.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"BOOTH, EVONNE"
ELLIOTT COMPANY,1003850037.0,261212077.0,42534897,itc,05/31/2023,05/30/2024,27324.0,1.0,27324.0,0.0,0.0,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"BERNAL, ESTEFANIA"
EPIC GAMES INC,1005606651.0,135257973.0,42534897,itc,08/10/2023,08/09/2024,21632.0,1.0,21632.0,0.0,0.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"HOLMAN, CRYSTAL"
FREEPORT-MCMORAN INC,1003851874.0,134495902.0,42534897,itc,12/01/2022,11/30/2023,5100.0,1.0,5100.0,0.0,0.0,,,,False,,False,False,"BARGAR, BRADY",UNASSIGNED REP,"OTT, EVA"
GIGAMON INC,1005732573.0,136867300.0,42534897,itc,07/15/2023,07/14/2024,10600.0,1.0,10600.0,0.0,0.0,,,,False,,False,False,"FOX, JASON",UNASSIGNED REP,"MARTINEZ, MARIA"
GRANT THORNTON LLP,1003852200.0,135236408.0,42534897,itc,08/01/2023,07/31/2024,103263.0,1.0,103263.0,0.0,0.0,,,,False,,False,False,"HANSON, JOEL",UNASSIGNED REP,"ALLEN, ORAL"
HCC INSURANCE HOLDINGS,1003852209.0,134649915.0,42534897,itc,05/19/2023,05/18/2024,10816.0,1.0,10816.0,0.0,0.0,,,,False,,False,False,"ANDREWS, JAY",UNASSIGNED REP,"SHEKHA, SAM"
HEXION INC.,1004841470.0,135888340.0,42534897,itc,12/22/2022,12/21/2023,20800.0,1.0,20800.0,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"CHAVARRIA, SILCA"
"INTERFACE, INC",1003851115.0,260534279.0,42534897,itc,11/29/2022,11/28/2023,23625.0,1.0,23625.0,0.0,0.0,,,,False,,False,False,"JACKSON, STEPHEN",UNASSIGNED REP,"STEPHAN, CRAIG"
KEURIG DR PEPPER INC,1003849667.0,135644603.0,42534897,itc,01/01/2023,12/31/2023,19890.0,1.0,19890.0,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ESPERICUETA, STEPHANIE"
"LEXMARK INTERNATIONAL, INC.",1003850429.0,260530440.0,42534897,itc,12/01/2022,11/30/2023,14018.0,1.0,14018.0,0.0,0.0,,,,False,,False,False,"GRODECKY, PETE",UNASSIGNED REP,"EVELOFF, MONA"
