Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
"ACI WORLDWIDE, INC.",1003850945,134285065,42534897,itc,3/1/2022,2/28/2023,16640,1,16640,N/A,16640,,,,FALSE,,,
ALCOA USA CORP,1005669491,135836747,42534897,itc,12/1/2022,11/30/2023,23683,1,23683,N/A,23683,,,,TRUE,FALSE,,
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056,136791195,42534897,itc,7/1/2022,6/30/2023,26500,1,26500,N/A,26500,,,,FALSE,,,
ANDERSONS INC,1003849577,129327641,42533744,itc,7/2/2022,7/1/2023,8000,1,8000,N/A,8000,,,,FALSE,,,
"APEX TOOL GROUP, LLC",1004002516,135922933,42534897,itc,10/1/2022,9/30/2023,15000,1,15000,N/A,15000,,,,TRUE,TRUE,,
"ARISTOCRAT TECHNOLOGIES, INC.",1003849623,135655938,42534897,itc,1/25/2022,1/24/2023,18720,1,18720,N/A,18720,,,,FALSE,,,
"BARRICK GOLD OF NORTH AMERICA, INC",1003850523,134999855,42533743,itc,5/16/2022,5/15/2023,74870.95,1,74870.95,N/A,74870.95,,,,FALSE,,,
"BDO USA, LLP",1004286492,135516171,42533743,itc,11/1/2021,12/31/2022,75026.82,1,75026.82,N/A,75026.82,,,,FALSE,,FALSE,TRUE
"BENCHMARK ELECTRONICS, INC.",1004677283,136761726,42534897,itc,5/31/2022,5/30/2023,14000,1,14000,N/A,14000,,,,FALSE,,,
BOURNS INC,1005665004,135800621,42534897,itc,12/1/2022,11/30/2023,23400,1,23400,N/A,23400,,,,TRUE,FALSE,,
BRANDTECH INC,1005739546,260107365,42533744,itc,9/26/2022,9/25/2023,20250,1,20250,N/A,20250,,,,FALSE,,,
BROWN-FORMAN CORPORATION,1004707127,134734314,42534897,itc,8/1/2022,7/31/2023,14038.3,1,14038.3,N/A,14038.3,,,,FALSE,,,
CABOT MICRO ELECTRONICS CORP,1003851003,133875800,42534897,itc,12/1/2022,11/30/2023,20683.51,1,20683.51,N/A,20683.51,,,,TRUE,FALSE,,
CGI FEDERAL INC,1004934339,260138910,42534897,itc,9/7/2022,9/6/2023,22500,1,22500,N/A,22500,,,,FALSE,,,
COOPER TIRE & RUBBER COMPANY,1003854023,129310044,42534897,itc,12/1/2022,11/30/2023,14599.83,1,14599.83,N/A,14599.83,,,,TRUE,FALSE,,
CORTEVA AGRISCIENCE LLC,1004976002,260602290,42534897,itc,12/1/2022,11/30/2023,13538.64,1,13538.64,N/A,13538.64,,,,TRUE,FALSE,,
COSTCO WHOLESALE CORP.,1003851413,260499768,42534897,itc,12/15/2022,12/14/2023,18000,1,18000,N/A,18000,TRUE,,,TRUE,TRUE,,
CROWE LLP,1003848257,136385244,42534897,itc,12/1/2022,11/30/2023,69254.85,1,69254.85,N/A,69254.85,,,,TRUE,FALSE,,
DANIEL J EDELMAN INC.,1003851856,136644862,42534897,itc,6/1/2022,5/31/2023,14443.03,1,14443.03,N/A,14443.03,,,,FALSE,,,
DAYCO PRODUCTS LLC,1004864858,135637342,42534897,itc,3/1/2022,2/28/2023,17305.6,1,17305.6,N/A,17305.6,,,,FALSE,,,
"DIGITALOCEAN, LLC",1005195502,136988658,42534897,itc,9/1/2022,1/12/2023,9445.49,1,9445.49,N/A,9445.49,,,,FALSE,,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003,260620679,42534897,itc,12/1/2022,11/30/2023,16000,1,16000,N/A,16000,,,,TRUE,FALSE,,
"DUPONT SPECIALTY PRODUCTS USA, LLC",1004976003,136874320,42534897,itc,12/1/2022,11/30/2023,22500,1,22500,N/A,22500,,,,TRUE,FALSE,,
EPIC GAMES INC,1005606651,135257973,42534897,itc,8/10/2022,8/9/2023,20800,1,20800,N/A,20800,,,,FALSE,,,
FLORIDA CRYSTALS CORPORATION,1005038044,132303429,42534897,itc,3/2/2022,3/1/2023,16224,1,16224,N/A,16224,,,,FALSE,,,
FREEPORT-MCMORAN INC,1003851874,134495902,42534897,itc,12/1/2022,11/30/2023,5100,1,5100,N/A,5100,,,,TRUE,FALSE,,
GIGAMON INC,1005732573,136867300,42534897,itc,7/18/2022,7/14/2023,10000,1,10000,N/A,10000,,,,FALSE,,,
GRANT THORNTON LLP,1003852200,135236408,42534897,itc,8/1/2022,7/31/2023,100255,1,100255,N/A,100255,,,,FALSE,,,
HCC INSURANCE HOLDINGS,1003852209,134649915,42534897,itc,5/19/2022,5/18/2023,10400,1,10400,N/A,10400,,,,FALSE,,,
HEXION INC.,1004841470,135888340,42534897,itc,12/22/2022,12/21/2023,20800,1,20800,N/A,20800,TRUE,,,TRUE,FALSE,,
"INTERFACE, INC",1003851115,260534279,42534897,itc,11/29/2022,11/28/2023,23625,1,23625,N/A,23625,,,,TRUE,FALSE,,
KEURIG DR PEPPER INC,1003849667,135644603,42534897,itc,1/1/2022,12/31/2022,19125,1,19125,N/A,19125,,,,FALSE,,,
"LEXMARK INTERNATIONAL, INC.",1003850429,260530440,42534897,itc,12/1/2022,11/30/2023,14018,1,14018,N/A,14018,,,,TRUE,FALSE,,
"LEXMARK INTERNATIONAL, INC.",1003850429,130217119,42534897,itc,1/1/2022,12/31/2022,13783.91,1,13783.91,N/A,13783.91,,,,FALSE,,,
"MAPLE MOUNTAIN GROUP,INC.",1003852771,135435514,42534897,itc,1/1/2022,12/31/2022,20250,1,20250,N/A,20250,,,,FALSE,,,
MCDONALD'S CORPORATION,1003850032,136300775,42534897,itc,1/18/2022,1/17/2023,18813.19,1,18813.19,N/A,18813.19,,,,FALSE,,,
"METTLER-TOLEDO INTERNATIONAL, INC.",1003850783,135722355,42534897,itc,11/18/2022,11/17/2023,14037.92,1,14037.92,N/A,14037.92,,,,TRUE,FALSE,,
"MINERALS TECHNOLOGIES, INC.",1003849525,135729501,42534897,itc,11/14/2022,11/13/2023,14173.29,1,14173.29,N/A,14173.29,,,,TRUE,FALSE,,
"NEWPARK RESOURCES, INC.",1003850811,129881654,42534897,itc,1/1/2022,12/31/2022,13783.91,1,13783.91,N/A,13783.91,,,,FALSE,,,
PLANTRONICS INC.,1003849793,135918788,42534897,itc,5/1/2022,4/30/2023,18000,1,18000,N/A,18000,,,,FALSE,,,
"PLASTIPAK PACKAGING, INC.",1004628426,134034198,42534897,itc,12/31/2022,12/30/2023,15142.4,1,15142.4,N/A,15142.4,TRUE,,,TRUE,FALSE,,
"PRA GROUP, INC.",1004029651,135458967,42534897,itc,9/30/2022,9/29/2023,20800,1,20800,N/A,20800,,,,FALSE,,,
QUALCOMM INCORPORATED,1003850981,135893089,42534897,itc,8/1/2022,7/31/2023,25254,1,25254,N/A,25254,,,,FALSE,,,
QUANEX BUILDING PRODUCTS,1003852350,135321429,42534897,itc,10/1/2022,9/30/2023,15088.59,1,15088.59,N/A,15088.59,,,,TRUE,FALSE,,
READING INTL INC,1005628687,135271374,42534897,itc,8/9/2022,8/8/2023,12480,1,12480,N/A,12480,,,,FALSE,,,
SCOULAR,1005678185,135938477,42534897,itc,6/1/2022,5/31/2023,5590,1,5590,N/A,5590,,,,FALSE,,,
SPX FLOW INC,1004871744,135165494,42534897,itc,7/21/2022,7/20/2023,14038.09,1,14038.09,N/A,14038.09,,,,FALSE,,,
"STERICYCLE, INC.",1003853766,134336247,42534897,itc,1/1/2022,12/31/2022,12980,1,12980,N/A,12980,,,,FALSE,,,
"TEVA PHARMACEUTICALS USA, INC.",1003851546,260049717,42534897,itc,12/1/2022,11/30/2023,15000,1,15000,N/A,15000,,,,TRUE,TRUE,,
TEXAS INSTRUMENTS INC.,1003850181,135680326,42534897,itc,12/1/2022,11/30/2023,21668,1,21668,N/A,21668,,,,TRUE,FALSE,,
THE TIMKEN COMPANY GNE-12,1003851008,136896732,42534897,itc,7/27/2022,7/26/2023,13850,1,13850,N/A,13850,,,,FALSE,,,
"TOPBUILD SUPPORT SERVICES,INC",1004775930,136708315,42534897,itc,12/2/2022,12/1/2023,14976,1,14976,N/A,14976,TRUE,,,TRUE,FALSE,,
UIPATH,1005716359,136441518,42534897,itc,6/1/2022,5/31/2023,23850,1,23850,N/A,23850,,,,FALSE,,,
"UNIFI MANUFACTURING, INC.",1004879539,130723072,42534897,itc,7/29/2022,7/28/2023,1687.3,1,1687.3,N/A,1687.3,,,,FALSE,,,
UNIVAR SOLUTIONS,1005739283,137056918,42534897,itc,10/1/2022,9/30/2023,22000,1,22000,N/A,22000,,,,TRUE,TRUE,,
UNIVERSAL CORPORATION,1004943617,134370784,42534897,itc,3/12/2022,3/11/2023,20800,1,20800,N/A,20800,,,,FALSE,,,
"VMWARE, INC.",1003955591,136059127,42534897,itc,2/1/2022,1/31/2023,22500,1,22500,N/A,22500,,,,FALSE,,,
VONTIER BUSINESS SERVICES LLC,1005508545,133948819,42534897,itc,12/7/2022,12/6/2023,20800,1,20800,N/A,20800,TRUE,,,TRUE,FALSE,,
W. R. GRACE & CO. - CONN.,1003999446,136781958,42534897,itc,6/23/2022,6/22/2023,18720,1,18720,N/A,18720,,,,FALSE,,,
WATERS CORPORATION,1004007883,132959426,42534897,itc,11/14/2022,11/13/2023,17379.63,1,17379.63,N/A,17379.63,,,,TRUE,FALSE,,
"WOODWARD, INC",1003851571,135975262,42534897,itc,11/14/2022,11/13/2023,12460,1,12460,N/A,12460,,,,TRUE,FALSE,,
YAHOO INC,1005647667,135459416,42534897,itc,9/30/2022,9/29/2023,23400,1,23400,N/A,23400,,,,FALSE,,,
ADVANCE FINANCE GROUP LLC,1004634212,131967242,42638816,pa,1/1/2022,12/31/2022,70304,0.14,9842.56,8000,8000,,,,FALSE,,,
ADVANCED DRAINAGE SYSTEMS INC,1005501953,135985573,42638814,pa,8/1/2022,7/31/2023,59488,0.14,8328.32,8000,8000,,,,FALSE,,,
"ADVANCED MICRO DEVICES, INC.",1003853537,134088047,42638814,pa,1/1/2022,12/31/2022,53437.5,0.14,7481.25,8000,7481.25,,,,FALSE,,,
AECOM,1003850080,133321186,42638813,pa,1/1/2022,12/31/2022,168798.82,0.1,16879.882,8000,8000,,,,FALSE,,,
"AHOLD DELHAIZE AMERICA HOLDING, INC",1003852376,136852922,42638814,pa,6/13/2022,6/12/2023,61950,0.14,8673,8000,8000,,,,FALSE,,,
AIR METHODS CORPORATION,1004065738,131357572,42638814,pa,7/31/2022,7/30/2023,50618.88,0.14,7086.6432,8000,7086.6432,,,,FALSE,,,
"AIRBNB, INC.",1004953147,260361651,42638814,pa,7/12/2022,7/11/2023,112480.77,0.14,15747.3078,8000,8000,,,,FALSE,,FALSE,TRUE
ALBANY INTERNATIONAL CORP.,1003851889,260174983,42638814,pa,12/1/2022,11/30/2023,86528,0.14,12113.92,8000,8000,,,,TRUE,FALSE,,
"ALCON VISION, LLC",1005386230,133974296,42638814,pa,12/14/2022,12/13/2023,76752,0.14,10745.28,8000,8000,TRUE,,,TRUE,FALSE,,
AMENTUM GOVT SERVICES HOLDINGS LLC,1005602487,135090615,42638814,pa,9/1/2022,8/31/2023,42900,0.14,6006,8000,6006,,,,FALSE,,,
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056,260180334,43060271,pa,12/1/2022,11/30/2023,153920,0.26,40019.2,30000,30000,,,,TRUE,FALSE,,
AMERICAN GREETINGS CORPORATION,1003849385,136242709,42638814,pa,4/1/2022,3/31/2023,29960.32,0.14,4194.4448,8000,4194.4448,,,,FALSE,,,
AMERICAN TOWERS LLC,1003850618,260513477,42638814,pa,12/12/2022,12/11/2023,74103.32,0.14,10374.4648,8000,8000,TRUE,,,TRUE,FALSE,,
AMERICAN WELL CORPORATION,1005707199,136778731,42638816,pa,7/5/2022,7/4/2023,29240,0.14,4093.6,8000,4093.6,,,,FALSE,,,
AMG ADVANCED METALLURGICAL GRP,1005765698,260323925,42638816,pa,11/17/2022,11/16/2023,25500,0.14,3570,8000,3570,,,,TRUE,TRUE,,
AMPHENOL CORP,1003850086,132098816,42638813,pa,1/1/2022,12/31/2022,254880,0.1,25488,8000,8000,,,,FALSE,,,
"AMUNDI US, INC.",1005391388,131614489,42638814,pa,12/2/2022,12/1/2023,29876.18,0.14,4182.6652,8000,4182.6652,TRUE,,,TRUE,FALSE,,
ANALOG DEVICES INC,1004446158,136379971,42638814,pa,9/1/2022,8/31/2023,80851.5,0.14,11319.21,8000,8000,,,,FALSE,,,
APR ENERGY LLC,1005717544,136696611,42638816,pa,6/1/2022,5/31/2023,56300,0.14,7882,8000,7882,,,,FALSE,,,
ARAMARK CORPORATION,1004639915,136120156,42927363,pa,9/1/2022,8/31/2023,215973.89,0.26,56153.2114,30000,30000,,,,FALSE,,,
"ARDENT LEGACY HOLDINGS, INC.",1003849580,260363255,42638814,pa,12/1/2022,11/30/2023,36293.21,0.14,5081.0494,8000,5081.0494,,,,TRUE,FALSE,,
ARTIVION INC,1005411368,132076805,42638814,pa,12/23/2022,12/22/2023,32621.06,0.14,4566.9484,8000,4566.9484,TRUE,,,TRUE,FALSE,,
ASCEND PERFORMANCE MATERIALS HOLDIN,1004314870,131091433,42638814,pa,6/1/2022,5/31/2023,74662.85,0.14,10452.799,8000,8000,,,,FALSE,,,
ASTEC INDUSTRIES INC,1005452297,132709227,42638814,pa,5/23/2022,5/22/2023,48672,0.14,6814.08,8000,6814.08,,,,FALSE,,,
ASTRAZENECA PHARMACEUTICALS LP,1003853549,132049718,42638813,pa,12/1/2022,11/30/2023,189019.45,0.1,18901.945,8000,8000,,,,TRUE,FALSE,,
ASTRONICS CORPORATION,1005392049,133557272,42638816,pa,12/1/2022,11/30/2023,32448,0.14,4542.72,8000,4542.72,,,,TRUE,FALSE,,
AT HOME STORES LLC,1005584762,134469212,42638814,pa,4/1/2022,3/31/2023,58682,0.14,8215.48,8000,8000,,,,FALSE,,,
AT&T,1003851659,133554499,42638814,pa,7/1/2022,6/30/2023,230380.8,0.14,32253.312,8000,8000,,,,FALSE,,,
"AUTODESK, INC.",1003850724,260178704,43068051,pa,12/1/2022,11/30/2023,335296,0.26,87176.96,30000,30000,,,,TRUE,FALSE,,
AVAGO TECHNOLOGIES U.S. INC,1003994394,134324131,42638813,pa,2/26/2022,2/25/2023,96250,0.1,9625,8000,8000,,,,FALSE,,,
AVIENT CORPORATION,1005012575,134662534,42638814,pa,8/1/2022,7/31/2023,56100,0.14,7854,8000,7854,,,,FALSE,,,
"AXALTA COATING SYSTEMS, LLC",1004579788,135836781,42638813,pa,12/1/2022,11/30/2023,240050.3,0.1,24005.03,8000,8000,,,,TRUE,FALSE,,
"AZENTA, INC",1003853820,132084605,42638816,pa,10/1/2022,9/30/2023,42500,0.14,5950,8000,5950,,,,TRUE,FALSE,,
AZZ INC,1005524049,133410163,42638814,pa,10/1/2022,9/30/2023,54718.56,0.14,7660.5984,8000,7660.5984,,,,TRUE,FALSE,,
